iter	Passed	Remaining
0	125	125272
1	126	63033
2	127	42258
3	127	31863
4	128	25635
5	129	21472
6	130	18529
7	131	16312
8	132	14571
9	133	13192
10	134	12066
11	134	11114
12	135	10313
13	136	9638
14	137	9038
15	138	8522
16	139	8053
17	139	7633
18	140	7258
19	141	6921
20	141	6616
21	142	6339
22	143	6085
23	143	5853
24	144	5640
25	145	5442
26	145	5258
27	146	5089
28	147	4944
29	148	4805
30	149	4668
31	150	4540
32	150	4418
33	151	4303
34	152	4194
35	152	4091
36	153	3994
37	154	3902
38	154	3814
39	155	3731
40	156	3652
41	156	3576
42	157	3504
43	158	3436
44	158	3371
45	159	3308
46	160	3247
47	160	3191
48	161	3139
49	162	3089
50	163	3039
51	164	2990
52	164	2944
53	165	2902
54	166	2860
55	167	2818
56	167	2777
57	168	2738
58	169	2700
59	169	2663
60	170	2627
61	171	2592
62	171	2557
63	172	2524
64	173	2492
65	173	2461
66	174	2432
67	175	2403
68	176	2375
69	176	2350
70	177	2324
71	178	2299
72	179	2274
73	179	2249
74	180	2224
75	181	2201
76	181	2178
77	182	2156
78	183	2133
79	183	2112
80	184	2091
81	184	2070
82	185	2047
83	185	2027
84	186	2009
85	187	1991
86	188	1973
87	188	1956
88	189	1939
89	190	1922
90	190	1906
91	191	1892
92	192	1877
93	193	1862
94	193	1847
95	194	1832
96	195	1817
97	195	1802
98	196	1788
99	197	1774
100	197	1760
101	198	1747
102	199	1734
103	199	1721
104	200	1708
105	201	1696
106	201	1684
107	202	1671
108	203	1660
109	203	1649
110	204	1637
111	205	1627
112	206	1617
113	206	1608
114	207	1598
115	208	1588
116	208	1576
117	209	1566
118	210	1556
119	210	1546
120	211	1536
121	212	1526
122	212	1516
123	213	1507
124	214	1498
125	214	1489
126	215	1480
127	215	1471
128	216	1462
129	217	1454
130	217	1445
131	218	1437
132	219	1430
133	220	1423
134	221	1417
135	222	1410
136	222	1403
137	223	1396
138	224	1388
139	224	1381
140	225	1374
141	226	1365
142	226	1358
143	227	1351
144	228	1344
145	228	1337
146	229	1330
147	230	1324
148	230	1317
149	231	1311
150	232	1304
151	232	1298
152	233	1291
153	233	1285
154	234	1279
155	235	1273
156	236	1268
157	237	1264
158	238	1259
159	238	1253
160	239	1246
161	239	1241
162	240	1235
163	241	1229
164	241	1224
165	242	1218
166	243	1212
167	243	1207
168	244	1202
169	245	1196
170	245	1191
171	246	1186
172	247	1181
173	247	1175
174	248	1170
175	249	1166
176	249	1161
177	250	1157
178	251	1152
179	252	1148
180	252	1144
181	253	1139
182	254	1135
183	254	1130
184	255	1127
185	256	1122
186	257	1117
187	257	1113
188	258	1108
189	259	1104
190	259	1100
191	260	1095
192	261	1091
193	261	1087
194	262	1082
195	262	1078
196	263	1074
197	264	1070
198	264	1066
199	265	1063
200	266	1060
201	267	1056
202	268	1053
203	268	1049
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	272	1030
209	272	1026
210	273	1022
211	274	1018
212	274	1015
213	275	1011
214	276	1007
215	276	1004
216	277	1000
217	277	997
218	278	993
219	279	990
220	279	986
221	280	984
222	281	981
223	282	978
224	283	975
225	284	972
226	284	969
227	285	966
228	286	963
229	286	959
230	287	956
231	288	953
232	288	950
233	289	947
234	289	944
235	290	940
236	291	937
237	291	934
238	292	931
239	293	928
240	293	925
241	294	922
242	295	920
243	296	918
244	297	915
245	297	913
246	298	910
247	299	907
248	299	904
249	300	901
250	301	899
251	301	896
252	302	893
253	303	890
254	303	887
255	304	885
256	305	882
257	305	879
258	306	877
259	307	874
260	307	871
261	308	868
262	309	866
263	309	863
264	310	861
265	311	859
266	312	856
267	312	854
268	313	852
269	314	849
270	314	847
271	315	844
272	316	842
273	316	839
274	317	837
275	318	835
276	319	832
277	319	830
278	320	828
279	321	825
280	321	823
281	322	820
282	323	818
283	323	815
284	324	813
285	325	811
286	325	809
287	326	807
288	327	805
289	328	803
290	328	801
291	329	799
292	330	796
293	330	794
294	331	792
295	332	790
296	332	787
297	333	785
298	334	783
